"","Herria","Lema","Erantzuna","Erantzuna..fon.","galdera"
"439","Arbizu","seme","séme","śéme","2483"
"440","Arboti","seme","seme","śeme","2483"
"441","Armendaritze","seme","semé","śemé","2483"
"442","Arnegi","seme","séme","śéme","2483"
"443","Arrangoitze","seme","semé","śemé","2483"
"444","Arrasate","seme","séme","śéme","2483"
"445","Arrazola (Atxondo)","seme","séme","śéme","2483"
"446","Arrieta","seme","sémé","śémé","2483"
"447","Arroa (Zestoa)","seme","séme","śéme","2483"
"448","Arrueta","seme","séme","śéme","2483"
"449","Asteasu","seme","semé","śemé","2483"
"450","Ataun","seme","semé","śemé","2483"
"451","Azkaine","xemia","xémiá","ʃémiá","2483"
"452","Azkaine","ondoko","ondóko","ondóko","2483"
"453","Azkoitia","seme","séme","śéme","2483"
"454","Azpeitia","seme","séme","śéme","2483"
"455","Baigorri","seme","seme","śeme","2483"
"456","Bakio","seme","séme","śéme","2483"
"457","Bardoze","seme","seme","śeme","2483"
"458","Barkoxe","seme","séme","śéme","2483"
"459","Bastida","seme","séme","śéme","2483"
"460","Beasain","seme","semé","śemé","2483"
"461","Behorlegi","seme","semé","śemé","2483"
"462","Beizama","seme","semé","śemé","2483"
"463","Bergara","seme","séme","śéme","2483"
"464","Bermeo","seme","semé","śemé","2483"
"465","Berriz","seme","séme","śéme","2483"
"466","Beruete","seme","semé","śemé","2483"
"467","Beskoitze","seme","séme","śéme","2483"
"468","Bidarrai","seme","séme","śéme","2483"
"469","Bolibar","seme","séme","śéme","2483"
"470","Busturia","seme","semé","śemé","2483"
"471","Deba","seme","séme","śéme","2483"
"472","Dima","seme","séme","śéme","2483"
"473","Domintxaine","seme","séme","śéme","2483"
"474","Donamaria","seme","semé","śemé","2483"
"475","Donibane Lohizune","seme","séme","śéme","2483"
"476","Donostia","seme","séme","śéme","2483"
